frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,frame.len,tcp.flags
"1784065132.753998201","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065133.040627373","127.0.0.1","127.0.0.1","57668","34719","130","0x0018"
"1784065133.040659353","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065133.041995116","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065133.086059892","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065133.212147592","127.0.0.1","127.0.0.1","34719","57662","154","0x0018"
"1784065133.212167829","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065133.272226830","127.0.0.1","127.0.0.1","57662","34719","241","0x0018"
"1784065133.272227048","127.0.0.1","127.0.0.1","57668","34719","209","0x0018"
"1784065133.273749148","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065133.273750749","127.0.0.1","127.0.0.1","34719","57662","159","0x0018"
"1784065133.273764717","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065133.273767294","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065133.309408010","127.0.0.1","127.0.0.1","57662","34719","239","0x0018"
"1784065133.309428564","127.0.0.1","127.0.0.1","57668","34719","135","0x0018"
"1784065133.310832565","127.0.0.1","127.0.0.1","34719","57668","112","0x0018"
"1784065133.311206330","127.0.0.1","127.0.0.1","34719","57662","908","0x0018"
"1784065133.354000074","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065133.354081743","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065133.407872716","127.0.0.1","127.0.0.1","57668","34719","186","0x0018"
"1784065133.409371670","127.0.0.1","127.0.0.1","34719","57668","142","0x0018"
"1784065133.409388773","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065133.684442850","127.0.0.1","127.0.0.1","57662","34719","87","0x0018"
"1784065133.726103810","127.0.0.1","127.0.0.1","34719","57662","68","0x0010"
"1784065133.730548254","127.0.0.1","127.0.0.1","34719","57662","234","0x0018"
"1784065133.730622321","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065133.733761651","127.0.0.1","127.0.0.1","57668","34719","269","0x0018"
"1784065133.735435630","127.0.0.1","127.0.0.1","34719","57668","155","0x0018"
"1784065133.735456403","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065133.736675895","127.0.0.1","127.0.0.1","57668","34719","110","0x0018"
"1784065133.778354172","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065133.808843191","127.0.0.1","127.0.0.1","57668","34719","87","0x0018"
"1784065133.808882086","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065133.898595850","127.0.0.1","127.0.0.1","57662","34719","601","0x0018"
"1784065133.898643322","127.0.0.1","127.0.0.1","34719","57662","68","0x0010"
"1784065133.900655763","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065133.900691265","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.047605802","127.0.0.1","127.0.0.1","34719","57662","83","0x0018"
"1784065134.047706846","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.076006702","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784065134.076009140","127.0.0.1","127.0.0.1","57662","34719","127","0x0018"
"1784065134.076030204","127.0.0.1","127.0.0.1","34719","57668","68","0x0010"
"1784065134.077380611","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065134.077600799","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065134.083113035","127.0.0.1","127.0.0.1","34719","57662","136","0x0018"
"1784065134.083165223","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.090154612","127.0.0.1","127.0.0.1","57668","34719","155","0x0018"
"1784065134.091650361","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065134.134087139","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065134.273413605","127.0.0.1","127.0.0.1","57662","34719","125","0x0018"
"1784065134.273495274","127.0.0.1","127.0.0.1","57668","34719","128","0x0018"
"1784065134.275149102","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065134.275192682","127.0.0.1","127.0.0.1","57668","34719","68","0x0010"
"1784065134.275411073","127.0.0.1","127.0.0.1","34719","57662","92","0x0018"
"1784065134.280829803","127.0.0.1","127.0.0.1","34719","57662","232","0x0018"
"1784065134.280863758","127.0.0.1","127.0.0.1","57662","34719","68","0x0010"
"1784065134.287641944","127.0.0.1","127.0.0.1","57668","34719","199","0x0018"
"1784065134.289041997","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065134.289060898","127.0.0.1","127.0.0.1","57668","34719","250","0x0018"
"1784065134.290325905","127.0.0.1","127.0.0.1","34719","57668","106","0x0018"
"1784065134.304715037","127.0.0.1","127.0.0.1","34719","57662","154","0x0018"
"1784065134.311717839","127.0.0.1","127.0.0.1","57668","34719","173","0x0018"
